dataset,n,cols,k,clusters,mpi_procs,sigma,t_load,t_degree,t_laplacian,t_eigen,t_kmeans,t_total,quality
data/matrix_100x100.txt,100,-1,3,3,1,-1.0000,0.002889,0.000024,0.000061,0.004663,0.000100,0.007738,1.410840
data/matrix_110x141.txt,110,141,3,3,1,4824.4776,0.014512,0.000028,0.000069,0.005285,0.000116,0.020012,0.998631
data/matrix_123x162.txt,123,162,3,3,1,5204.3886,0.022133,0.000030,0.000046,0.006901,0.000112,0.029225,1.000208
data/matrix_123x445.txt,123,445,3,3,1,8631.5788,0.037867,0.000036,0.000047,0.007075,0.000133,0.045162,1.000659
data/matrix_156x91.txt,156,91,3,3,1,3875.6203,0.022471,0.000044,0.000131,0.013536,0.000154,0.036339,0.995171
data/matrix_159x278.txt,159,278,3,3,1,6802.0947,0.040116,0.000045,0.000082,0.014227,0.000155,0.054630,1.001911
data/matrix_179x255.txt,179,255,3,3,1,6522.9394,0.049770,0.000054,0.000113,0.019172,0.000163,0.069277,1.001444
data/matrix_196x494.txt,196,494,3,3,1,9081.8312,0.080078,0.000075,0.000130,0.024845,0.000176,0.105309,0.999685
data/matrix_200x411.txt,200,411,3,3,1,8273.8263,0.073055,0.000080,0.000150,0.025240,0.000180,0.098709,0.999269
data/matrix_201x636.txt,201,636,3,3,1,10305.5938,0.099260,0.000086,0.000148,0.026291,0.000176,0.125965,1.001160
data/matrix_205x78.txt,205,78,3,3,1,3590.4118,0.034452,0.000064,0.000287,0.028339,0.000173,0.063318,0.979872
data/matrix_208x53.txt,208,53,3,3,1,2972.5467,0.031220,0.000072,0.000305,0.029656,0.000191,0.061446,0.995098
data/matrix_227x624.txt,227,624,3,3,1,10192.9607,0.112629,0.000110,0.000215,0.036423,0.000201,0.149584,1.000122
data/matrix_232x81.txt,232,81,3,3,1,3670.9390,0.037956,0.000092,0.000339,0.039090,0.000216,0.077696,0.998751
data/matrix_249x263.txt,249,263,3,3,1,6608.6249,0.067034,0.000130,0.000264,0.048455,0.000218,0.116107,1.005955
data/matrix_257x286.txt,257,286,3,3,1,6897.2737,0.072785,0.000138,0.000307,0.050151,0.000215,0.123600,1.002601
data/matrix_272x371.txt,272,371,3,3,1,7882.7842,0.093180,0.000140,0.000351,0.062022,0.000234,0.155932,1.003522
data/matrix_273x395.txt,273,395,3,3,1,8104.4700,0.100063,0.000134,0.000298,0.058659,0.000228,0.159388,0.998725
data/matrix_274x436.txt,274,436,3,3,1,8529.7179,0.105493,0.000147,0.000300,0.060430,0.000239,0.166615,1.008783
data/matrix_290x482.txt,290,482,3,3,1,8958.6086,0.123322,0.000165,0.000366,0.070304,0.000269,0.194431,1.003733
data/matrix_294x126.txt,294,126,3,3,1,4581.6758,0.051759,0.000146,0.000543,0.072765,0.000257,0.125476,0.998967
data/matrix_352x247.txt,352,247,3,3,1,6394.8603,0.093433,0.000232,0.000755,0.118895,0.000306,0.213625,1.006424
